,area,distance,bookings,bids,allocated,unallocated,allocation_rate,unallocation_rate,weighted_unallocation_rate,area_type,is_high_booking,is_good_allocation,quadrant
0,City,5.525499999999999,8780,13803,6476,2304,0.7375854214123007,0.26241457858769934,0.045398120234084065,pickup,1,1,Role Models
1,Punggol/Sengkang,14.2195,4018,8255,3344,674,0.8322548531607765,0.16774514683922348,0.013280526492088825,pickup,1,1,Role Models
2,Woodlands,18.926,3667,7029,2948,719,0.8039269157349331,0.19607308426506687,0.014167208527910783,pickup,1,1,Role Models
3,Ang Mo Kio/Bishan,12.426,2955,4061,2145,810,0.7258883248730964,0.2741116751269036,0.01596027664479518,pickup,1,0,Dying
4,Jurong West,11.4,2245,4060,1781,464,0.7933184855233854,0.20668151447661465,0.009142676991586371,pickup,1,1,Role Models
5,Yishun,18.2945,1686,3856,1413,273,0.8380782918149466,0.16192170818505336,0.005379204350653188,pickup,1,1,Role Models
6,Fort Road,8.955,2278,3691,1843,435,0.8090430201931519,0.19095697980684812,0.008571259679612225,pickup,1,1,Role Models
7,Chua Chu Kang,16.4785,2298,3650,1675,623,0.7288946910356832,0.27110530896431684,0.012275620184823945,pickup,1,1,Role Models
8,Bedok,12.744,1281,3439,1179,102,0.9203747072599532,0.07962529274004682,0.0020098126145297623,pickup,1,1,Role Models
9,Hougang,12.598,1799,2710,1336,463,0.7426347971095053,0.2573652028904947,0.009122972946345884,pickup,1,1,Role Models
10,Mandai,15.107,2335,2544,1444,891,0.6184154175588865,0.3815845824411135,0.017556304309274694,pickup,1,0,Dying
11,Upper East Coast Road,12.1005,1056,2479,945,111,0.8948863636363636,0.10511363636363635,0.0021871490216941536,pickup,0,1,Self-Sustain
12,Bukit Batok,13.517,2046,2268,1254,792,0.6129032258064516,0.3870967741935484,0.015605603830466394,pickup,1,0,Dying
13,Jurong East,12.765,2379,2220,1402,977,0.58932324506095,0.41067675493905,0.019250852199956647,pickup,1,0,Dying
14,Tiong Bahru,8.128,1096,2140,926,170,0.8448905109489051,0.1551094890510949,0.0033496876908829386,pickup,1,1,Role Models
15,Toa Payoh,9.3205,2240,2040,1275,965,0.5691964285714286,0.4308035714285714,0.019014403657070796,pickup,1,0,Dying
16,Pasir Ris,13.625,549,1864,533,16,0.970856102003643,0.02914389799635697,0.0003152647238478055,pickup,0,1,Self-Sustain
17,Marine Parade,10.577,1346,1838,946,400,0.7028231797919762,0.29717682020802383,0.00788161809619515,pickup,1,0,Dying
18,Clementi,9.2305,1574,1353,829,745,0.5266836086404066,0.47331639135959336,0.014679513704163465,pickup,1,0,Dying
19,Loyang Road,12.971,385,1279,375,10,0.974025974025974,0.025974025974025983,0.0001970404524048788,pickup,0,1,Self-Sustain
20,Queenstown,10.572,907,1044,604,303,0.6659316427783903,0.33406835722160966,0.005970325707867825,pickup,0,0,Optimize Last
21,NTU,12.607,394,944,333,61,0.8451776649746193,0.15482233502538068,0.00120194675966976,pickup,0,1,Self-Sustain
22,Seletar,13.861,511,763,398,113,0.7788649706457925,0.22113502935420748,0.00222655711217513,pickup,0,1,Self-Sustain
23,MacPherson,9.661000000000001,558,719,415,143,0.7437275985663082,0.2562724014336918,0.002817678469389766,pickup,0,1,Self-Sustain
24,Farrer Road,7.215,813,654,390,423,0.4797047970479705,0.5202952029520296,0.00833481113672637,pickup,0,0,Optimize Last
25,Ubi,11.512,483,522,328,155,0.6790890269151139,0.32091097308488614,0.00305412701227562,pickup,0,0,Optimize Last
26,Diary Farm,12.817499999999999,498,257,186,312,0.37349397590361444,0.6265060240963856,0.006147662115032216,pickup,0,0,Optimize Last
27,Tuas,8.091,66,158,62,4,0.9393939393939394,0.06060606060606055,7.881618096195142e-05,pickup,0,1,Self-Sustain
28,Sentosa,10.142,263,140,115,148,0.4372623574144487,0.5627376425855513,0.0029161986955922045,pickup,0,0,Optimize Last
29,Eng Neo,9.814,234,72,57,177,0.24358974358974358,0.7564102564102564,0.003487616007566353,pickup,0,0,Optimize Last
30,Lim Chu Kang,14.723,9,6,3,6,0.3333333333333333,0.6666666666666667,0.00011822427144292724,pickup,0,0,Optimize Last
31,Tengah,4.246,1,1,1,0,1.0,0.0,0.0,pickup,0,1,Self-Sustain
32,Tampines Road,16.48,1,0,0,1,0.0,1.0,1.9704045240487873e-05,pickup,0,0,Optimize Last
0,City,9.582,17216,22228,11435,5781,0.6642077137546468,0.3357922862453532,0.11393153465639227,dropoff,1,0,Dying
1,Loyang Road,21.053,4001,9143,3394,607,0.8482879280179955,0.15171207198200454,0.011962712599278693,dropoff,1,1,Role Models
2,Woodlands,9.527999999999999,2202,6211,2041,161,0.9268846503178928,0.0731153496821072,0.0031729764884413014,dropoff,1,1,Role Models
3,Ang Mo Kio/Bishan,9.697,2242,4195,1846,396,0.8233719892952721,0.1766280107047279,0.007804339685855618,dropoff,1,1,Role Models
4,Queenstown,11.32,3286,3888,2080,1206,0.6329884357881923,0.3670115642118077,0.023767761770560294,dropoff,1,0,Dying
5,Jurong East,11.487,2134,2949,1528,606,0.7160262417994376,0.28397375820056237,0.011943004670779056,dropoff,1,0,Dying
6,Tiong Bahru,14.837,2052,2850,1441,611,0.7022417153996101,0.2977582846003899,0.012041544313277232,dropoff,1,0,Dying
7,Yishun,8.979,1003,2733,928,75,0.9252243270189432,0.0747756729810568,0.0014780946374726546,dropoff,1,1,Role Models
8,Upper East Coast Road,14.239,1477,2689,1242,235,0.8408937034529451,0.15910629654705488,0.004631363197414321,dropoff,1,1,Role Models
9,Toa Payoh,10.289,1436,1955,1006,430,0.7005571030640668,0.2994428969359332,0.008474409254843225,dropoff,1,0,Dying
10,Punggol/Sengkang,4.068,714,1930,658,56,0.9215686274509803,0.07843137254901966,0.0011036439959795834,dropoff,1,1,Role Models
11,Bedok,11.341,941,1900,800,141,0.8501594048884166,0.14984059511158343,0.0027788179184485918,dropoff,1,1,Role Models
12,Bukit Batok,6.941,973,1892,835,138,0.8581706063720452,0.14182939362795477,0.0027196941329496855,dropoff,1,1,Role Models
13,Pasir Ris,11.676,893,1861,750,143,0.8398656215005599,0.16013437849944012,0.002818233775447863,dropoff,1,1,Role Models
14,Tuas,16.549,1983,1836,1166,817,0.5879979828542612,0.4120020171457388,0.016101377584202124,dropoff,1,0,Dying
15,Jurong West,10.952,1406,1698,954,452,0.6785206258890469,0.32147937411095306,0.008907983681835202,dropoff,1,0,Dying
16,Chua Chu Kang,7.006,665,1449,577,88,0.8676691729323308,0.1323308270676692,0.0017342977079679157,dropoff,0,1,Self-Sustain
