iter	Logloss
0	0.6868701399
1	0.6807610145
2	0.6753523352
3	0.6706973541
4	0.6652941461
5	0.6602034582
6	0.6546380715
7	0.6483797456
8	0.6429433659
9	0.637966699
10	0.6337490279
11	0.6288109467
12	0.6236787111
13	0.6191999413
14	0.614258972
15	0.6102069807
16	0.6058271793
17	0.6011036193
18	0.5966788052
19	0.5921161564
20	0.5876886813
21	0.5833746889
22	0.5794925476
23	0.5748386156
24	0.5712751839
25	0.5667080204
26	0.5625645253
27	0.559099475
28	0.5572448882
29	0.5541203328
30	0.5512299778
31	0.5484494834
32	0.5449561129
33	0.5431332428
34	0.5415267066
35	0.5384557516
36	0.5359432845
37	0.5326429601
38	0.5294285162
39	0.5272605688
40	0.5246126526
41	0.5222684499
42	0.5198881747
43	0.5176857098
44	0.5158282134
45	0.5131895885
46	0.5107322472
47	0.5082934883
48	0.5066559555
49	0.5041523798
50	0.5023930689
51	0.5001963913
52	0.4982815215
53	0.4962272273
54	0.4941380388
55	0.4919529115
56	0.4897876121
57	0.4887848763
58	0.4871086048
59	0.4850255586
60	0.4826650895
61	0.4808756943
62	0.4789747838
63	0.4774910822
64	0.4758013318
65	0.4738480027
66	0.4720408994
67	0.4706179403
68	0.4687502932
69	0.466852288
70	0.4649261971
71	0.4638810817
72	0.4626240816
73	0.4611440804
74	0.4598960677
75	0.4582810111
76	0.4567104913
77	0.4551146455
78	0.4535714534
79	0.4524601344
80	0.4510643119
81	0.4494696275
82	0.4480720981
83	0.4467440337
84	0.4451801015
85	0.4440234076
86	0.4426405806
87	0.4413913099
88	0.4403783876
89	0.4396260138
90	0.4381904499
91	0.4368703706
92	0.4359579415
93	0.4351205813
94	0.43376797
95	0.432520959
96	0.4313308397
97	0.4306544405
98	0.4297060545
99	0.4288579522
100	0.4278505212
101	0.4267542052
102	0.4258513405
103	0.4255508851
104	0.424667574
105	0.4237568594
106	0.4227634398
107	0.4217780608
108	0.421460155
109	0.4206295819
110	0.419797219
111	0.4192898568
112	0.418374403
113	0.4172755702
114	0.4161623119
115	0.4152682042
116	0.414540973
117	0.4134935584
118	0.4128423926
119	0.4120214294
120	0.4117679723
121	0.4108324725
122	0.4100472896
123	0.4098016508
124	0.4091384505
125	0.408828117
126	0.4082264396
127	0.4078669533
128	0.4074990259
129	0.4068263211
130	0.4061420253
131	0.4053494169
132	0.40470593
133	0.4040887214
134	0.4032703597
135	0.403110881
136	0.4025232177
137	0.4018754
138	0.4013061382
139	0.4009479918
140	0.4004370786
141	0.3998053721
142	0.3992205269
143	0.3986289382
144	0.3979907986
145	0.3973776253
146	0.3969029984
147	0.3964095014
148	0.3959207442
149	0.3955268284
150	0.39505061
151	0.394669316
152	0.3941333176
153	0.3936920943
154	0.393107388
155	0.3925272921
156	0.3921593944
157	0.3917915035
158	0.3912521425
159	0.3910265251
160	0.3906172709
161	0.3901168058
162	0.3896054724
163	0.3892462616
164	0.3891666026
165	0.3885707926
166	0.3881748779
167	0.3881210271
168	0.3879825342
169	0.3875939437
170	0.3872316156
171	0.3869167381
172	0.3864141497
173	0.3861534501
174	0.3858990363
175	0.3853310491
176	0.3850953862
177	0.3847057719
178	0.3844184352
179	0.3840902216
180	0.3836938672
181	0.3832897988
182	0.3829352928
183	0.3826553045
184	0.3822463728
185	0.3818576474
186	0.3814428775
187	0.3809715101
188	0.3806521764
189	0.3801779643
190	0.3798105438
191	0.3796001556
192	0.3791745122
193	0.3788883992
194	0.3784372432
195	0.3781164325
196	0.3776949221
197	0.3772876076
198	0.3767364299
199	0.3763118618
200	0.3760381848
201	0.3756941029
202	0.3752414171
203	0.3748249276
204	0.3744287737
205	0.3739573345
206	0.3735219699
207	0.3732708726
208	0.372817088
209	0.372516452
210	0.3721711581
211	0.3719943165
212	0.3717054882
213	0.3714300192
214	0.371052347
215	0.3708298271
216	0.3703794855
217	0.370031876
218	0.3696101019
219	0.3693177389
220	0.3690691932
221	0.3690453183
222	0.3688493583
223	0.3685897806
224	0.3683606311
225	0.3680999237
226	0.3678637931
227	0.3675275261
228	0.3671708996
229	0.3668857056
230	0.3665137468
231	0.3661756704
232	0.3658947519
233	0.3656136911
234	0.3653908762
235	0.3651607811
236	0.3648449166
237	0.3645018096
238	0.364327527
239	0.3641370631
240	0.3638648163
241	0.363522756
242	0.3632843534
243	0.3629664773
244	0.362734642
245	0.3625949228
246	0.3623663145
247	0.3620668476
248	0.3617485511
249	0.3614450547
250	0.3612427649
251	0.3610241828
252	0.3609424581
253	0.3607015398
254	0.3606851497
