iter	Passed	Remaining
0	1	1747
1	2	1487
2	4	1335
3	4	1184
4	5	1138
5	6	1075
6	7	1091
7	8	1114
8	10	1118
9	11	1117
10	12	1098
11	13	1142
12	14	1137
13	15	1125
14	16	1109
15	17	1101
16	18	1090
17	20	1125
18	21	1111
19	22	1113
20	24	1121
21	24	1108
22	25	1095
23	26	1080
24	27	1066
25	28	1056
26	29	1047
27	29	1036
28	30	1015
29	30	998
30	31	987
31	32	971
32	32	963
33	33	949
34	33	932
35	34	927
36	35	917
37	36	913
38	36	908
39	37	897
40	38	891
41	38	881
42	39	873
43	39	865
44	40	855
45	41	851
46	41	851
47	42	851
48	43	843
49	44	844
50	44	834
51	45	832
52	46	826
53	46	822
54	47	821
55	48	820
56	49	819
57	50	812
58	50	808
59	51	808
60	52	808
61	53	807
62	54	804
63	54	800
64	55	799
65	56	797
66	57	795
67	57	793
68	58	792
69	59	792
70	60	789
71	60	784
72	61	780
73	62	778
74	62	776
75	63	772
76	64	770
77	65	768
78	65	766
79	66	763
80	66	759
81	67	756
82	68	754
83	68	752
84	69	748
85	70	746
86	70	743
87	71	741
88	72	739
89	72	734
90	73	730
91	73	727
92	74	724
93	74	721
94	75	718
95	75	715
96	76	712
97	77	710
98	77	707
99	78	704
100	78	702
101	79	700
102	80	697
103	80	691
104	80	688
105	81	685
106	81	683
107	82	681
108	82	676
109	83	674
110	83	671
111	84	667
112	84	664
113	85	663
114	85	660
115	86	658
116	86	656
117	87	653
118	88	651
119	88	650
120	89	647
121	89	646
122	90	644
123	90	640
124	91	639
125	91	635
126	92	632
127	92	630
128	92	627
129	93	625
130	93	623
131	94	621
132	95	619
133	95	617
134	95	614
135	96	611
136	96	610
137	97	608
138	98	607
139	98	606
140	99	604
141	99	603
142	100	601
143	100	599
144	101	597
145	101	595
146	102	594
147	103	593
148	103	592
149	104	591
150	104	590
151	105	588
152	106	587
153	106	586
154	107	584
155	107	584
156	108	582
157	109	581
158	109	579
159	110	578
160	110	577
161	111	576
162	112	575
163	112	574
164	112	571
165	113	571
166	114	569
167	114	567
168	115	566
169	115	564
170	115	562
171	117	564
172	117	562
173	118	561
174	118	560
175	119	560
176	120	558
177	120	557
178	121	555
179	121	554
180	122	553
181	123	552
182	123	551
183	124	550
184	124	549
185	125	548
186	126	548
187	126	548
188	127	547
189	128	546
190	128	545
191	129	544
192	129	543
193	130	542
194	131	541
195	131	540
196	132	539
197	132	537
198	133	537
199	134	536
200	134	535
201	135	534
202	135	532
203	136	532
204	137	531
205	137	530
206	138	529
207	138	528
208	139	527
209	139	526
210	140	525
211	140	523
212	141	522
213	141	521
214	142	521
215	143	520
216	144	519
217	144	519
218	145	518
219	145	517
220	146	516
221	146	514
222	147	513
223	147	512
224	148	511
225	149	510
226	149	509
227	150	509
228	150	508
229	151	507
230	152	506
231	152	505
232	153	504
233	153	503
234	154	502
235	154	501
236	155	500
237	156	499
238	156	498
239	157	497
240	157	496
241	158	495
242	158	494
243	159	493
244	159	492
245	160	491
246	160	490
247	161	490
248	162	489
249	163	489
250	163	488
251	164	487
252	164	486
253	165	485
254	165	483
255	166	482
256	166	481
257	167	480
258	167	480
259	168	479
260	168	477
261	169	476
262	169	475
263	170	474
264	170	473
265	171	472
266	171	471
267	172	470
268	172	469
269	173	468
270	173	467
271	174	467
272	175	466
273	175	465
274	176	465
275	177	464
276	177	463
277	178	464
278	179	463
279	179	462
280	180	461
281	181	461
282	181	460
283	182	459
284	182	459
285	183	458
286	183	456
287	184	455
288	184	455
289	185	453
290	185	452
291	186	452
292	187	451
293	187	450
294	188	449
295	188	449
296	189	448
297	190	447
298	190	447
299	191	446
300	191	445
301	192	444
302	192	443
303	193	442
304	193	441
305	194	440
306	194	439
307	195	439
308	196	438
309	196	437
310	197	437
311	197	436
312	198	435
313	198	434
314	199	433
315	200	432
316	200	432
317	201	433
318	202	432
319	202	431
320	203	430
321	203	429
322	204	428
323	205	428
324	205	427
325	206	427
326	207	426
327	207	426
328	208	425
329	209	424
330	209	424
331	210	423
332	210	422
333	211	421
334	212	421
335	212	420
336	213	419
337	213	418
338	214	418
339	215	417
340	215	417
341	216	416
342	217	416
343	217	415
344	218	414
345	218	413
346	219	412
347	220	412
348	220	411
349	221	411
350	221	409
351	222	409
352	222	408
353	223	407
354	224	407
355	224	406
356	225	405
357	226	405
358	226	404
359	227	403
360	227	403
361	228	402
362	229	401
363	229	401
364	230	400
365	230	399
366	231	398
367	231	397
368	232	397
369	232	396
370	233	395
371	234	395
372	234	394
373	235	393
374	235	393
375	236	392
376	237	392
377	237	391
378	238	390
379	239	389
380	239	389
381	240	388
382	240	387
383	241	387
384	242	386
385	242	386
386	243	385
387	243	384
388	244	384
389	244	383
390	245	382
391	246	381
392	246	381
393	247	380
394	248	379
395	248	379
396	249	378
397	250	378
398	250	377
399	251	376
400	251	376
401	252	375
402	253	374
403	253	373
404	254	373
405	254	372
406	254	371
407	255	370
408	256	369
