Date,Wallet,Type,"Category name",Amount,Currency,Note,Labels,Author
2021-02-11T00:58:51+00:00,Household,Expense,"Food & Drink",-79000.00000000,IDR,"Breakfast Mie Asoy",cashLeo,Leo
2021-02-11T03:29:06+00:00,Household,Expense,Gifts,-21000.00000000,IDR,"Gosend pie susu nina & melissa",gopay,"Sonia P"
2021-02-11T06:06:18+00:00,Household,Expense,Transport,-1100000.00000000,IDR,"Servis Mobil",debitBCA,Leo
2021-02-11T12:16:34+00:00,Household,Expense,"Food & Drink",-81000.00000000,IDR,"Lunch waroenk kito",gopay,"Sonia P"
2021-02-12T07:26:07+00:00,Household,Expense,Groceries,-90000.00000000,IDR,"Hypermart - BBQ sinchia",ovo,Leo
2021-02-13T01:41:29+00:00,Household,Expense,Healthcare,-850000.00000000,IDR,"Vaksin serviks",debitBCA,"Sonia P"
2021-02-13T01:58:10+00:00,Household,Expense,"Food & Drink",-52000.00000000,IDR,"Sarapan - Bubur Aries",cashLeo,Leo
2021-02-14T01:03:23+00:00,Household,Expense,Transport,-165000.00000000,IDR,Shell,debitBCA,Leo
2021-02-14T01:45:41+00:00,Household,Expense,"Food & Drink",-82000.00000000,IDR,"Sarapan - Mie Asoy",cashLeo,Leo
2021-02-14T01:45:56+00:00,Household,Expense,"Food & Drink",-24000.00000000,IDR,"Ayam Kuning",cashLeo,Leo
2021-02-14T08:25:27+00:00,Household,Expense,Coffee,-46000.00000000,IDR,Tuku,ovo,Leo
2021-02-14T14:03:10+00:00,Household,Expense,Shopping,-98000.00000000,IDR,"Belanja Hero",debitBCA,"Sonia P"
2021-02-15T05:27:54+00:00,Household,Expense,Snack,-28000.00000000,IDR,"Es Krim + Teh Kotak",cashLeo,Leo
2021-02-16T13:20:32+00:00,Household,Expense,Groceries,-150000.00000000,IDR,"Chicken wings, saori, sasa, etc",cashLeo,Leo
2021-02-18T12:46:26+00:00,Household,Expense,Coffee,-20000.00000000,IDR,,shopeePay,Leo
2021-02-19T07:51:25+00:00,Household,Expense,"Food & Drink",-180000.00000000,IDR,"Abura soba - dinner",debitBCA,"Sonia P"
2021-02-19T08:30:59+00:00,Household,Expense,Drink,-40000.00000000,IDR,"Grape Lippo",shopeePay,Leo
